Unique ID,Test Name,Assigned Analyst,Status,Legacy Code,Year,CG No
1,Quality test 001,Anita Gomez,5 - Delivered,100117,2026,3
2,Quality test 002,Derek Lin,5 - Delivered,100056,2029,9
3,Quality test 003,Derek Lin,2 - Delayed,100016,2028,2
4,Quality test 004,Anita Gomez,5 - Delivered,100168,2029,2
5,Quality test 005,Anita Gomez,5 - Delivered,100071,2026,8
6,Quality test 006,Derek Lin,4 - Hold,100166,2029,4
7,Quality test 007,Brett Cho,4 - Hold,100159,2027,8
8,Quality test 008,Derek Lin,4 - Hold,100094,2026,8
9,Quality test 009,Anita Gomez,1 - On Track,100011,2026,7
10,Quality test 010,Brett Cho,2 - Delayed,100017,2029,2
11,Quality test 011,Anita Gomez,4 - Hold,100055,2026,1
12,Quality test 012,Anita Gomez,2 - Delayed,100105,2028,1
13,Quality test 013,Brett Cho,5 - Delivered,100077,2027,3
14,Quality test 014,Anita Gomez,3 - Cancelled,100196,2027,12
15,Quality test 015,Derek Lin,1 - On Track,100153,2027,3
16,Quality test 016,Derek Lin,4 - Hold,100127,2029,9
17,Quality test 017,Derek Lin,5 - Delivered,100026,2027,7
18,Quality test 018,Brett Cho,5 - Delivered,100182,2026,3
19,Quality test 019,Derek Lin,3 - Cancelled,100137,2028,11
20,Quality test 020,Anita Gomez,2 - Delayed,100145,2028,10
